Month,All items,Food,Energy,All items less food and energy,Commodities less food and energy commodities,Services less energy services,Food at home,Gasoline (all types),Electricity,Utility (piped) gas services,New vehicles,Used cars and trucks,Apparel,Shelter,Transportation services,Medical care services
Jan 2012,0.2,0.2,0.2,0.2,0.2,0.2,0,0.9,0,-2.9,0,-1,0.9,0.2,0,0.2
Feb 2012,0.4,0,3.2,0.1,0.1,0.1,0,6,0,-3.4,0.6,-0.2,-0.9,0.2,-0.2,0
Mar 2012,0.3,0.2,0.9,0.2,0.2,0.2,0.2,1.7,-0.8,0.9,0.2,1.3,0.5,0.2,0.3,0.3
Apr 2012,0,0.2,-1.7,0.2,0.2,0.3,0.2,-2.6,0.2,-1.8,0.4,1.5,0.4,0.2,0.5,0.4
May 2012,-0.3,0,-4.3,0.2,0.2,0.2,-0.1,-6.8,0.3,-4.1,0.2,1,0.4,0.2,0.3,0.5
June 2012,0,0.2,-1.4,0.2,0.2,0.2,0.1,-2,-0.5,1.7,0.2,0,0.5,0.1,-0.2,0.7
July 2012,0,0.1,-1.3,0.1,0,0.1,0,0.3,-1.3,-0.2,-0.1,-0.5,0.2,0.1,-0.2,0.3
Aug 2012,0.5,0.2,4.6,0.1,-0.2,0.1,0.1,9,0.2,2.8,0.2,-0.9,-0.5,0.2,0,0.2
Sep 2012,0.5,0.1,3.9,0.2,-0.1,0.2,0,7,0.2,2,-0.1,-1.4,0.3,0.2,0.5,0.4
Oct. 2012,0.2,0.2,0.1,0.2,0,0.2,0.3,-0.6,0.5,-0.2,-0.1,-0.9,0.7,0.3,0.7,0
Nov 2012,-0.2,0.2,-3.4,0.1,-0.1,0.2,0.3,-7.4,0.7,1.3,0.2,-0.5,-0.6,0.2,0.2,0.3
Dec 2012,0,0.2,-0.8,0.1,-0.1,0.2,0.2,-2.3,0.2,1.3,0,-0.4,-0.1,0.1,0.5,0.3
,,,,,,,,,,,,,,,,
Jan 2013,0,0,-1.7,0.3,0.2,0.3,0,-3,1.1,-1.7,0.1,0.2,0.8,0.2,0.5,0.2
Feb 2013,0.7,0.1,5.4,0.2,0,0.2,0.1,9.1,0.3,1.2,-0.3,0.8,-0.1,0.2,0.1,0.3
Mar 2013,-0.2,0,-2.6,0.1,-0.1,0.2,-0.1,-4.4,-0.6,1,0.1,1.2,-1,0.2,0.2,0.3
Apr 2013,-0.4,0.2,-4.3,0.1,0,0.2,0.1,-8.1,0.5,4.4,0.3,0.6,-0.3,0.2,-0.2,-0.1
May 2013,0.1,-0.1,0.4,0.2,0,0.3,-0.3,0,0.8,2.4,0,-0.1,0.2,0.3,0.4,0
June 2013,0.5,0.2,3.4,0.2,0.2,0.2,0.2,6.3,0.2,-0.4,0.3,-0.4,0.9,0.2,-0.1,0.4
July 2013,0.2,0.1,0.2,0.2,0,0.2,0.1,1,-0.3,-2.8,0.1,-0.4,0.6,0.2,0.4,0.1
Aug 2013,0.1,0.1,-0.4,0.1,0,0.2,0.1,-0.1,-0.1,-2.3,0,-0.1,0.1,0.2,-0.5,0.7
Sep 2013,0.1,0,0.3,0.1,-0.1,0.2,0,0.8,0.5,1.8,0.2,0,-0.5,0.2,0.3,0.3
Oct. 2013,0,0.1,-0.9,0.1,-0.1,0.2,0.1,-2.9,0.1,-1,-0.1,0.3,-0.5,0.1,0.7,-0.1
Nov 2013,0.1,0.1,-0.4,0.2,0,0.3,0,-1.6,0.3,-1.8,-0.1,0.1,-0.4,0.3,0.3,0
Dec 2013,0.2,0,1.6,0.1,0,0.1,0,3.1,0.4,-0.4,0,-0.2,0.9,0.2,-0.4,0.3
,,,,,,,,,,,,,,,,
Jan 2014,0.1,0.1,0.6,0.1,-0.1,0.2,0.1,-1,1.8,3.6,-0.3,-0.5,-0.3,0.3,0.1,0.2
Feb 2014,0.1,0.4,-0.5,0.1,-0.1,0.2,0.5,-1.7,-0.2,3.6,0.1,-0.1,-0.3,0.2,0.3,0.2
Mar 2014,0.2,0.4,-0.1,0.2,0,0.3,0.5,-1.7,1.1,7.5,0,0.4,0.3,0.3,0.2,0.3
Apr 2014,0.3,0.4,0.3,0.2,0.1,0.3,0.4,2.3,-2.6,0.3,0.3,0.5,0,0.2,0.7,0.3
May 2014,0.4,0.5,0.9,0.3,0.1,0.3,0.7,0.7,2.3,-1.7,0.2,-0.1,0.3,0.3,1,0.3
June 2014,0.3,0.1,1.6,0.1,0.1,0.1,0,3.3,0.2,-2.6,-0.3,-0.4,0.5,0.2,0.1,0
July 2014,0.1,0.3,-0.2,0.1,0,0.1,0.4,-0.3,-0.3,-0.4,0.3,-0.3,0.2,0.3,-0.7,0.1
Aug 2014,-0.1,0.3,-1.7,0.1,-0.1,0.1,0.2,-4.1,0.1,-2.8,0.2,-0.3,-0.2,0.2,-0.6,0
Sep 2014,0.1,0.3,-0.7,0.1,0.1,0.2,0.3,-1,-0.7,1.6,0,-0.1,0,0.3,0.1,0.1
Oct. 2014,0.1,0.2,-1.2,0.2,0,0.2,0.1,-3,0.5,-2.7,0.2,-0.9,-0.2,0.2,0.8,0.2
Nov 2014,-0.3,0.2,-4.1,0.1,-0.3,0.2,0.1,-6.6,0.1,-1.7,-0.1,-1.2,-1.1,0.3,0.3,0.4
Dec 2014,-0.3,0.2,-4.7,0.1,-0.2,0.2,0.3,-9.4,0.8,1.5,-0.1,-1.2,-1.2,0.2,-0.5,0.3
,,,,,,,,,,,,,,,,
Jan 2015,-0.7,0,-9.7,0.2,-0.1,0.3,-0.2,-18.7,0.9,-3.4,-0.1,-0.1,0.3,0.3,0.4,0.1
Feb 2015,0.2,0.2,1,0.2,0.2,0.1,0.1,2.4,0.3,-2,0.2,1,0.3,0.2,0.3,-0.2
Mar 2015,0.2,-0.2,1.1,0.2,0.3,0.2,-0.5,3.9,-1.1,-2.7,0.2,1.2,0.5,0.3,0,0.4
Apr 2015,0.1,0,-1.3,0.3,0.1,0.3,-0.2,-1.7,0,-2.6,0.1,0.6,-0.3,0.3,0.1,0.9
May 2015,0.4,0,4.3,0.1,-0.1,0.2,-0.2,10.4,-1.2,0,0.2,-0.4,-0.5,0.2,0.7,0.2
June 2015,0.3,0.3,1.7,0.2,-0.1,0.3,0.4,3.4,0.2,0.3,0.1,-0.4,-0.1,0.3,0.4,-0.2
July 2015,0.1,0.1,0,0.2,-0.1,0.2,0.3,0.9,-0.4,-1.4,-0.2,-0.6,0.3,0.4,-0.2,0.1
Aug 2015,0,0.2,-1.7,0.1,-0.1,0.2,0.3,-4.1,0.3,1.2,0,-0.4,0.3,0.2,-0.3,0
Sep 2015,-0.1,0.3,-3.7,0.2,0,0.3,0.3,-9,-0.5,-0.3,-0.1,-0.2,-0.3,0.3,0.1,0.3
Oct. 2015,0.2,0.1,0.4,0.2,-0.1,0.3,0.1,0.4,0.4,-0.7,-0.2,-0.3,-0.8,0.3,0.2,0.8
Nov 2015,0.1,-0.1,0.3,0.2,-0.1,0.2,-0.3,-2.4,0.3,-1.9,0.1,-0.1,-0.3,0.2,0.6,0.4
Dec 2015,-0.1,-0.2,-2.8,0.2,-0.1,0.2,-0.5,-4,-0.4,-2.3,-0.1,0.1,-0.2,0.2,0.3,0.1
,,,,,,,,,,,,,,,,
Jan 2016,0,0,-2.8,0.3,0.2,0.3,-0.2,-4.8,-0.7,-0.6,0.3,0.1,0.6,0.3,0.4,0.5
Feb 2016,-0.2,0.2,-6,0.3,0.3,0.3,0.2,-13,-0.2,1,0.2,0.2,1.6,0.3,0.2,0.5
Mar 2016,0.1,-0.2,0.9,0.1,-0.2,0.2,-0.5,2.2,0.4,-0.7,0,-0.1,-1.1,0.2,0.2,0.1
Apr 2016,0.4,0.2,3.4,0.2,-0.1,0.3,0.1,8.1,-0.3,0.6,-0.3,-0.3,-0.3,0.3,0.7,0.3
May 2016,0.2,-0.2,1.2,0.2,-0.2,0.4,-0.5,2.3,-0.2,1.7,-0.1,-1.3,0.8,0.4,0.3,0.5
June 2016,0.2,-0.1,1.3,0.2,-0.2,0.3,-0.3,3.3,-0.5,-0.4,-0.2,-1.1,-0.4,0.3,0.3,0.2
July 2016,0,0,-1.1,0.1,-0.1,0.2,-0.2,-4.7,5,3.1,0.2,-1,0,0.2,-0.2,0.5
Aug 2016,0.2,0,0,0.3,0.1,0.2,-0.2,-0.9,0.5,2.1,0,-0.6,0.2,0.3,0.1,0.9
Sep 2016,0.3,0,2.4,0.1,-0.1,0.3,-0.1,5.8,0.7,0.8,-0.1,-0.3,-0.7,4,0,0
Oct. 2016,0.3,0,2.5,0.1,0,0.3,-0.2,7,0.4,0.9,0.2,-0.1,0.3,0.4,-0.2,0
Nov 2016,0.2,0,1,0.2,-0.2,0.3,-0.1,2.7,0,-0.4,-0.1,0.3,-0.5,0.3,0.4,0.2
Dec 2016,0.3,0,1.2,0.2,0,0.3,-0.2,3,0,-0.4,0.1,0.5,-0.7,0.3,0.6,0.1